TailNumber,Origin,Destination,TravelDate,TotalFlightTime,Revenue,FirstName,LastName,Passport
F2838,ATL,IAH,28-06-2021,1,343.27,Heather,Singh,S-26384273
O2378,SFO,FLL,26-11-2020,10,260.82,Jay,Singh,P-64549526
T2335,LAX,FLL,13-09-2021,10,168.72,Mary,Singh,A-69169562
C2990,LAX,IAH,19-04-2021,4,482.54,Billy,Kohli,J-42970426
C2896,SEA,MIA,09-07-2021,4,64.19,Phil,Singh,D-61495909
P2752,SFO,PHL,01-09-2021,3,174.03,Phil,Hawkins,R-68106487
P2752,LAX,EWR,19-06-2021,7,358.01,Russell,Constantine,H-44102824
C2896,LAS,BOS,25-12-2020,1,149.85,Robert,Banner,U-49850866
F2838,DFW,IAH,15-05-2021,1,274.37,Jay,Singh,P-64549526
A2975,MCO,DTW,02-11-2020,6,73.97,Mary,Singh,A-69169562
Y2161,ORD,MIA,22-02-2021,9,266.61,Jay,Singh,P-64549526
N2252,LAS,EWR,30-11-2020,1,138.29,Phil,Hawkins,R-68106487
A2975,DEN,BOS,04-04-2021,6,239.84,Phil,Singh,D-61495909
T2366,MCO,PHL,26-09-2021,7,250.21,Mary,Singh,A-69169562
T2366,LAX,EWR,13-12-2020,8,496.38,Robert,Banner,U-49850866
C2990,ATL,FLL,24-12-2020,7,485.71,Billy,Kohli,J-42970426
Y2161,SFO,FLL,22-01-2021,1,52.28,Phil,Hawkins,R-68106487
C2750,LAX,PHL,25-10-2020,7,269.33,Mary,Singh,A-69169562
F2838,MCO,MSP,03-09-2021,9,324.11,Mary,Singh,A-69169562
J2465,SEA,CLT,28-06-2021,10,214.84,Billy,Kohli,J-42970426
G2971,SFO,EWR,29-06-2021,6,421.92,Heather,Singh,S-26384273
O2349,ATL,MIA,14-08-2021,10,271.31,Robert,Banner,U-49850866
R2852,DEN,MIA,25-11-2020,2,441.1,Mary,Singh,A-69169562
C2990,DEN,PHL,30-12-2020,2,400.98,Billy,Kohli,J-42970426
F2838,MCO,FLL,16-11-2020,5,278.22,Phil,Hawkins,R-68106487
C2386,ORD,EWR,23-04-2021,10,68.97,Robert,Banner,U-49850866
R2852,LAX,DTW,25-08-2021,4,321.82,Russell,Constantine,H-44102824
C2896,ORD,MSP,29-04-2021,3,363.29,Phil,Hawkins,R-68106487
C2896,ORD,MIA,12-12-2020,9,288.86,Heather,Singh,S-26384273
C2990,ORD,PHL,27-03-2021,1,233.76,Heather,Singh,S-26384273
T2335,SEA,PHX,22-07-2021,4,379.59,Robert,Banner,U-49850866
H3059,ATL,DTW,14-02-2021,5,66.57,Russell,Constantine,H-44102824
C2990,SFO,MSP,12-03-2021,7,282.98,Mary,Singh,A-69169562
C2896,LAS,EWR,29-12-2020,6,297.2,Phil,Hawkins,R-68106487
C2750,DFW,IAH,09-11-2020,6,334.65,Robert,Banner,U-49850866
T2335,DFW,DTW,05-11-2020,8,182.54,Jay,Singh,P-64549526
Y2161,LAS,FLL,29-07-2021,10,472.72,Jay,Singh,P-64549526
F2838,JFK,IAH,12-08-2021,7,409.03,Jay,Singh,P-64549526
T2366,JFK,PHX,19-07-2021,4,418.22,Jay,Singh,P-64549526
C2888,SFO,PHX,08-03-2021,9,467.06,Phil,Singh,D-61495909
T2335,LAX,DTW,03-02-2021,8,453.72,Robert,Banner,U-49850866
J2465,SFO,BOS,11-11-2020,10,485.93,Robert,Banner,U-49850866
J2465,SFO,MIA,20-07-2021,4,70.12,Phil,Hawkins,R-68106487
C2750,SEA,PHL,28-02-2021,5,256.42,Mary,Singh,A-69169562
O2378,LAS,MSP,23-09-2021,3,124.15,Heather,Singh,S-26384273
T2366,ATL,EWR,25-11-2020,5,77.82,Mary,Singh,A-69169562
G2971,ORD,CLT,21-07-2021,2,419.39,Phil,Hawkins,R-68106487
S2869,JFK,PHL,31-07-2021,4,386.26,Robert,Banner,U-49850866
C2888,DFW,FLL,29-06-2021,10,307.43,Heather,Singh,S-26384273
Y2161,MCO,PHL,07-01-2021,2,430.38,Phil,Hawkins,R-68106487
O2378,MCO,BOS,03-05-2021,3,71.64,Robert,Banner,U-49850866
C2888,SFO,CLT,09-09-2021,5,472.12,Phil,Hawkins,R-68106487
P2752,LAX,DTW,15-09-2021,4,339.93,Phil,Hawkins,R-68106487
C2888,LAS,IAH,09-10-2020,9,185.79,Heather,Singh,S-26384273
A2975,ORD,EWR,08-08-2021,9,329.77,Jay,Singh,P-64549526
C2888,DEN,FLL,30-06-2021,8,371.8,Robert,Banner,U-49850866
G2971,MCO,PHL,25-01-2021,10,401.42,Mary,Singh,A-69169562
H3059,LAS,DTW,14-02-2021,6,327.51,Phil,Hawkins,R-68106487
C2990,SEA,CLT,17-03-2021,7,225.37,Phil,Hawkins,R-68106487
R2852,ORD,PHL,03-02-2021,8,307.08,Mary,Singh,A-69169562
R2852,JFK,IAH,31-07-2021,5,417.08,Billy,Kohli,J-42970426
T2335,ORD,EWR,28-07-2021,3,492.51,Robert,Banner,U-49850866
O2378,LAS,CLT,13-07-2021,8,168.04,Robert,Banner,U-49850866
G2971,MCO,EWR,22-09-2021,4,460.54,Heather,Singh,S-26384273
N2252,ORD,PHX,28-07-2021,2,68.51,Phil,Singh,D-61495909
S2869,LAS,IAH,13-04-2021,2,178.46,Jay,Singh,P-64549526
C2386,DEN,EWR,07-08-2021,1,428.89,Billy,Kohli,J-42970426
G2971,DEN,EWR,29-06-2021,3,190.4,Robert,Banner,U-49850866
S2869,LAS,MSP,20-09-2021,10,461.4,Jay,Singh,P-64549526
R2852,SEA,MSP,04-09-2021,9,260.38,Phil,Hawkins,R-68106487
A2975,SEA,MSP,19-11-2020,10,465.15,Phil,Hawkins,R-68106487
C2750,LAS,EWR,16-09-2021,4,276.63,Phil,Hawkins,R-68106487
O2349,ORD,PHX,13-10-2020,7,214.59,Robert,Banner,U-49850866
N2252,LAS,DTW,20-10-2020,1,161.86,Robert,Banner,U-49850866
F2838,ATL,MSP,17-05-2021,8,284.46,Jay,Singh,P-64549526
F2838,DFW,MIA,31-01-2021,9,371.11,Heather,Singh,S-26384273
H3059,SFO,MSP,09-07-2021,8,87.39,Heather,Singh,S-26384273
Z2357,LAX,EWR,07-05-2021,3,204.99,Heather,Singh,S-26384273
S2869,DEN,MIA,03-09-2021,5,337.27,Billy,Kohli,J-42970426
A2975,JFK,PHL,10-02-2021,9,394.02,Heather,Singh,S-26384273
C2888,DFW,PHX,04-01-2021,2,102.05,Phil,Singh,D-61495909
C2896,SFO,CLT,04-12-2020,9,452.8,Mary,Singh,A-69169562
C2888,DFW,IAH,02-09-2021,5,54.01,Billy,Kohli,J-42970426
J2465,LAX,PHL,15-08-2021,6,63.7,Billy,Kohli,J-42970426
C2990,LAS,MSP,13-09-2021,6,437.89,Robert,Banner,U-49850866
A2975,JFK,PHL,07-10-2020,8,59.35,Billy,Kohli,J-42970426
P2752,DEN,BOS,27-07-2021,5,51.02,Billy,Kohli,J-42970426
Y2161,ATL,PHX,29-11-2020,1,267.11,Russell,Constantine,H-44102824
O2349,DEN,CLT,06-05-2021,4,306.88,Heather,Singh,S-26384273
F2838,ATL,BOS,11-09-2021,10,384.82,Billy,Kohli,J-42970426
N2252,JFK,FLL,15-06-2021,8,192.81,Billy,Kohli,J-42970426
C2750,SEA,CLT,09-12-2020,2,318.8,Jay,Singh,P-64549526
H3059,ATL,MSP,14-03-2021,4,453.31,Mary,Singh,A-69169562
C2888,MCO,DTW,13-03-2021,2,181.18,Mary,Singh,A-69169562
Z2357,LAX,MIA,17-04-2021,3,277.93,Russell,Constantine,H-44102824
C2990,MCO,FLL,01-08-2021,2,480.06,Heather,Singh,S-26384273
T2335,ORD,PHX,12-06-2021,3,133.25,Mary,Singh,A-69169562
S2869,DFW,MIA,18-08-2021,5,233.98,Phil,Singh,D-61495909
N2252,ATL,IAH,25-05-2021,2,353.99,Russell,Constantine,H-44102824
A2975,DFW,FLL,09-08-2021,2,379.59,Phil,Hawkins,R-68106487
C2750,SEA,FLL,28-06-2021,7,495.24,Phil,Hawkins,R-68106487
C2386,ORD,IAH,03-11-2020,3,198.46,Mary,Singh,A-69169562
O2378,LAS,EWR,09-11-2020,3,499.28,Phil,Singh,D-61495909
F2838,SEA,CLT,28-06-2021,1,221.94,Billy,Kohli,J-42970426
A2975,MCO,EWR,08-01-2021,2,87.6,Mary,Singh,A-69169562
C2990,MCO,IAH,01-02-2021,3,387.01,Russell,Constantine,H-44102824
J2465,DEN,PHL,10-02-2021,7,353.25,Billy,Kohli,J-42970426
R2852,SFO,PHL,02-09-2021,10,463.02,Billy,Kohli,J-42970426
P2752,SEA,EWR,05-03-2021,10,392.71,Russell,Constantine,H-44102824
C2990,SEA,PHL,02-05-2021,3,79.21,Robert,Banner,U-49850866
Y2161,DEN,FLL,20-03-2021,3,71.64,Phil,Hawkins,R-68106487
C2990,LAX,CLT,16-12-2020,3,332.65,Heather,Singh,S-26384273
F2838,LAS,CLT,05-11-2020,4,469.6,Heather,Singh,S-26384273
C2750,SFO,MIA,02-06-2021,2,274.72,Phil,Hawkins,R-68106487
C2990,SEA,PHL,10-05-2021,10,319.59,Russell,Constantine,H-44102824
O2349,DFW,EWR,04-12-2020,10,102.42,Jay,Singh,P-64549526
A2975,LAX,IAH,26-12-2020,6,168.48,Billy,Kohli,J-42970426
Y2161,SEA,PHX,06-08-2021,9,341.45,Billy,Kohli,J-42970426
P2752,LAX,MSP,31-08-2021,3,122.93,Jay,Singh,P-64549526
O2378,LAX,FLL,16-12-2020,10,162.82,Heather,Singh,S-26384273
Z2357,LAX,MIA,27-05-2021,5,311,Billy,Kohli,J-42970426
C2990,DEN,EWR,15-01-2021,10,243.52,Heather,Singh,S-26384273
T2366,ORD,EWR,25-01-2021,3,309.11,Phil,Singh,D-61495909
O2349,SEA,MIA,21-01-2021,6,396.68,Jay,Singh,P-64549526
J2465,LAX,CLT,24-08-2021,7,382.52,Mary,Singh,A-69169562
C2386,SEA,MIA,12-03-2021,10,231.57,Phil,Hawkins,R-68106487
C2888,ATL,MSP,30-07-2021,1,408.2,Phil,Singh,D-61495909
J2465,DFW,IAH,11-02-2021,3,294.24,Billy,Kohli,J-42970426
S2869,LAS,IAH,18-08-2021,3,167.5,Mary,Singh,A-69169562
C2386,LAS,IAH,28-07-2021,8,455.02,Billy,Kohli,J-42970426
H3059,SFO,BOS,30-01-2021,1,285.47,Jay,Singh,P-64549526
H3059,LAX,FLL,02-06-2021,5,126.08,Phil,Hawkins,R-68106487
H3059,DEN,PHX,14-03-2021,6,233.44,Jay,Singh,P-64549526
T2335,JFK,MSP,03-12-2020,7,444.85,Billy,Kohli,J-42970426
C2750,DFW,PHX,19-09-2021,6,368.49,Phil,Hawkins,R-68106487
O2378,JFK,EWR,07-12-2020,5,117.26,Billy,Kohli,J-42970426
N2252,JFK,CLT,11-12-2020,6,449.5,Robert,Banner,U-49850866
F2838,ORD,FLL,05-12-2020,3,259.53,Billy,Kohli,J-42970426
N2252,LAX,EWR,03-06-2021,10,171.26,Jay,Singh,P-64549526
S2869,LAX,DTW,26-02-2021,5,302.08,Heather,Singh,S-26384273
R2852,DFW,IAH,21-05-2021,3,492.19,Phil,Hawkins,R-68106487
P2752,LAX,PHL,20-12-2020,9,441.11,Phil,Singh,D-61495909
A2975,SEA,DTW,06-06-2021,1,454.32,Billy,Kohli,J-42970426
C2888,SFO,PHL,18-03-2021,7,470.41,Robert,Banner,U-49850866
S2869,JFK,BOS,03-01-2021,6,293.54,Robert,Banner,U-49850866
Z2357,DEN,BOS,07-11-2020,6,197.55,Phil,Singh,D-61495909
C2888,LAX,CLT,02-01-2021,4,207.89,Phil,Singh,D-61495909
F2838,LAS,BOS,13-07-2021,7,472.68,Phil,Singh,D-61495909
T2335,SFO,PHX,23-09-2021,8,108.65,Heather,Singh,S-26384273
O2378,MCO,PHL,11-03-2021,9,317.89,Phil,Hawkins,R-68106487
C2990,DEN,CLT,07-04-2021,4,95.42,Phil,Singh,D-61495909
G2971,DEN,IAH,17-02-2021,4,423.73,Phil,Hawkins,R-68106487
R2852,SEA,EWR,02-07-2021,5,313.61,Phil,Singh,D-61495909
Y2161,ORD,BOS,29-09-2021,10,330.92,Mary,Singh,A-69169562
H3059,ATL,DTW,26-01-2021,1,87.08,Robert,Banner,U-49850866
C2386,DFW,EWR,25-07-2021,3,176.75,Jay,Singh,P-64549526
C2750,LAS,FLL,18-02-2021,1,134.61,Phil,Hawkins,R-68106487
T2366,DEN,MSP,05-08-2021,1,151.11,Phil,Hawkins,R-68106487
N2252,SEA,EWR,06-12-2020,3,465.34,Jay,Singh,P-64549526
C2888,ORD,BOS,16-08-2021,3,99.31,Russell,Constantine,H-44102824
C2990,LAS,BOS,01-12-2020,5,477.29,Jay,Singh,P-64549526
R2852,LAX,PHL,30-06-2021,9,414.41,Robert,Banner,U-49850866
N2252,DFW,PHX,24-07-2021,3,202.76,Robert,Banner,U-49850866
Y2161,SFO,PHX,29-09-2021,7,335.41,Billy,Kohli,J-42970426
G2971,DFW,BOS,26-11-2020,4,459.9,Billy,Kohli,J-42970426
C2990,ATL,DTW,14-10-2020,7,329.01,Phil,Singh,D-61495909
C2896,DFW,EWR,01-08-2021,2,377.23,Phil,Hawkins,R-68106487
J2465,LAX,FLL,12-10-2020,9,334.65,Phil,Hawkins,R-68106487
T2366,JFK,MIA,02-01-2021,1,57.8,Phil,Hawkins,R-68106487
P2752,MCO,IAH,12-12-2020,3,99.83,Phil,Singh,D-61495909
P2752,ATL,DTW,31-10-2020,6,276.64,Robert,Banner,U-49850866
C2386,DFW,PHX,06-05-2021,8,497.8,Heather,Singh,S-26384273
R2852,DFW,MIA,27-03-2021,2,373.37,Phil,Singh,D-61495909
O2378,ATL,DTW,31-01-2021,10,211.07,Phil,Singh,D-61495909
T2335,SFO,MIA,24-07-2021,7,166.16,Heather,Singh,S-26384273
T2335,LAS,DTW,08-09-2021,8,120.52,Jay,Singh,P-64549526
O2349,MCO,IAH,28-08-2021,4,275.91,Billy,Kohli,J-42970426
T2335,DFW,MIA,06-06-2021,10,313.57,Phil,Hawkins,R-68106487
T2366,DEN,CLT,06-01-2021,3,384.54,Billy,Kohli,J-42970426
T2366,MCO,PHX,06-01-2021,10,484.84,Robert,Banner,U-49850866
C2750,JFK,MIA,14-09-2021,8,444.83,Jay,Singh,P-64549526
C2896,SFO,MSP,27-12-2020,3,467.1,Billy,Kohli,J-42970426
C2750,JFK,IAH,17-06-2021,2,101.25,Billy,Kohli,J-42970426
C2750,SEA,DTW,25-03-2021,2,223.1,Phil,Hawkins,R-68106487
G2971,DFW,FLL,31-01-2021,7,442.07,Russell,Constantine,H-44102824
J2465,SEA,IAH,04-08-2021,3,73.89,Phil,Hawkins,R-68106487
O2378,SFO,MIA,12-02-2021,9,447.17,Phil,Hawkins,R-68106487
J2465,SEA,DTW,13-10-2020,9,350.25,Heather,Singh,S-26384273
T2366,ORD,FLL,02-08-2021,10,140.45,Phil,Singh,D-61495909
R2852,DEN,DTW,06-03-2021,1,449.78,Russell,Constantine,H-44102824
T2366,DEN,IAH,07-02-2021,9,224.49,Heather,Singh,S-26384273
Z2357,ORD,FLL,19-12-2020,1,438.98,Jay,Singh,P-64549526
F2838,DFW,PHX,09-11-2020,7,213.67,Russell,Constantine,H-44102824
C2896,DFW,DTW,16-03-2021,3,477.64,Russell,Constantine,H-44102824
N2252,LAX,PHL,27-11-2020,9,177.51,Russell,Constantine,H-44102824
Y2161,SEA,MSP,20-08-2021,8,336.58,Russell,Constantine,H-44102824
R2852,DEN,CLT,08-10-2020,4,457.12,Robert,Banner,U-49850866
G2971,LAS,PHX,27-02-2021,3,352.75,Mary,Singh,A-69169562
T2335,MCO,PHL,02-11-2020,3,499.74,Billy,Kohli,J-42970426
C2888,DFW,CLT,11-01-2021,8,454.32,Heather,Singh,S-26384273
T2335,ORD,PHL,13-03-2021,3,445.7,Heather,Singh,S-26384273
R2852,JFK,CLT,04-05-2021,7,179.34,Robert,Banner,U-49850866
N2252,SFO,MIA,04-11-2020,9,186.59,Jay,Singh,P-64549526
C2750,SEA,MSP,11-06-2021,6,251.86,Robert,Banner,U-49850866
Y2161,ATL,DTW,16-03-2021,4,412.42,Billy,Kohli,J-42970426
R2852,SEA,BOS,30-01-2021,5,221.37,Phil,Singh,D-61495909
C2750,LAX,MSP,16-12-2020,8,255.04,Phil,Singh,D-61495909
C2750,SFO,DTW,14-04-2021,10,227.87,Billy,Kohli,J-42970426
H3059,MCO,EWR,27-06-2021,4,163.71,Robert,Banner,U-49850866
N2252,MCO,MSP,01-12-2020,5,216.52,Phil,Singh,D-61495909
O2378,DFW,PHL,22-11-2020,10,50.63,Robert,Banner,U-49850866
C2750,SFO,MSP,21-07-2021,10,120.19,Russell,Constantine,H-44102824
C2386,LAS,MIA,02-11-2020,3,184.91,Jay,Singh,P-64549526
T2366,LAS,DTW,22-10-2020,1,312.32,Russell,Constantine,H-44102824
C2888,DEN,DTW,27-10-2020,1,196.24,Phil,Hawkins,R-68106487
G2971,DEN,PHL,13-08-2021,2,300.88,Russell,Constantine,H-44102824
T2366,LAX,DTW,17-03-2021,3,313.53,Robert,Banner,U-49850866
C2386,JFK,MSP,05-04-2021,6,179.16,Robert,Banner,U-49850866
G2971,DFW,BOS,19-10-2020,3,166.21,Heather,Singh,S-26384273
O2378,JFK,PHL,30-07-2021,3,112.44,Mary,Singh,A-69169562
F2838,DEN,DTW,20-01-2021,7,220.67,Heather,Singh,S-26384273
H3059,LAX,MSP,17-09-2021,5,62.16,Mary,Singh,A-69169562
T2335,LAX,PHL,25-02-2021,6,489.45,Russell,Constantine,H-44102824
T2335,SFO,PHX,17-03-2021,4,394.38,Russell,Constantine,H-44102824
O2378,LAS,IAH,18-01-2021,2,432.01,Heather,Singh,S-26384273
G2971,SEA,IAH,19-11-2020,10,134.22,Russell,Constantine,H-44102824
O2349,SEA,MIA,14-11-2020,4,132.1,Russell,Constantine,H-44102824
C2990,ATL,FLL,20-07-2021,8,304.84,Phil,Singh,D-61495909
A2975,LAS,MIA,05-07-2021,9,160.93,Jay,Singh,P-64549526
J2465,LAX,MIA,24-01-2021,3,204.45,Phil,Hawkins,R-68106487
C2750,SEA,BOS,23-10-2020,2,209.1,Phil,Singh,D-61495909
C2888,LAX,CLT,25-01-2021,6,210.1,Jay,Singh,P-64549526
O2349,ORD,EWR,09-02-2021,7,304.87,Mary,Singh,A-69169562
J2465,SFO,BOS,26-05-2021,5,219.59,Heather,Singh,S-26384273
R2852,MCO,MSP,27-11-2020,8,415.65,Robert,Banner,U-49850866
G2971,LAS,MIA,16-04-2021,9,424.47,Mary,Singh,A-69169562
Y2161,DFW,DTW,05-09-2021,6,258.3,Mary,Singh,A-69169562
N2252,SEA,FLL,11-11-2020,1,248.02,Phil,Hawkins,R-68106487
C2896,LAS,MSP,20-04-2021,8,177.38,Russell,Constantine,H-44102824
N2252,SFO,PHX,05-09-2021,1,470.77,Jay,Singh,P-64549526
C2888,SEA,PHX,26-10-2020,4,69.08,Billy,Kohli,J-42970426
C2888,JFK,FLL,27-01-2021,2,467.82,Robert,Banner,U-49850866
P2752,ORD,BOS,12-01-2021,9,402.53,Mary,Singh,A-69169562
C2896,LAS,FLL,15-06-2021,4,109.78,Phil,Singh,D-61495909
O2349,LAX,CLT,11-02-2021,4,96.4,Russell,Constantine,H-44102824
T2335,ORD,MSP,21-12-2020,7,290.42,Phil,Singh,D-61495909
O2349,LAX,EWR,11-08-2021,8,84.64,Russell,Constantine,H-44102824
C2750,DFW,MIA,28-11-2020,9,475.7,Heather,Singh,S-26384273
Y2161,ATL,MSP,10-06-2021,7,68.19,Mary,Singh,A-69169562
C2888,DFW,MSP,06-07-2021,1,414.39,Phil,Hawkins,R-68106487
T2335,ATL,EWR,18-04-2021,10,207.48,Russell,Constantine,H-44102824
J2465,JFK,BOS,19-07-2021,8,136.24,Billy,Kohli,J-42970426
T2366,ORD,EWR,24-07-2021,1,203.1,Jay,Singh,P-64549526
O2378,DEN,EWR,21-11-2020,9,397.13,Phil,Singh,D-61495909
Z2357,LAS,PHL,25-09-2021,7,411.39,Phil,Singh,D-61495909
G2971,LAS,IAH,29-04-2021,4,458.59,Billy,Kohli,J-42970426
N2252,ATL,BOS,13-06-2021,1,85.71,Mary,Singh,A-69169562
H3059,DFW,BOS,22-10-2020,5,313.06,Jay,Singh,P-64549526
C2896,SEA,PHX,02-08-2021,6,77.74,Russell,Constantine,H-44102824
C2990,SFO,CLT,01-10-2021,4,201.52,Phil,Singh,D-61495909
N2252,LAS,BOS,31-05-2021,6,112.27,Phil,Hawkins,R-68106487
F2838,MCO,EWR,24-09-2021,6,207.96,Mary,Singh,A-69169562
S2869,MCO,CLT,27-02-2021,8,53.89,Phil,Singh,D-61495909
C2888,MCO,MIA,24-02-2021,5,224.5,Heather,Singh,S-26384273
O2349,JFK,PHX,23-10-2020,4,209.21,Phil,Hawkins,R-68106487
Z2357,MCO,MIA,31-08-2021,6,243,Jay,Singh,P-64549526
H3059,ATL,FLL,09-08-2021,2,252.53,Robert,Banner,U-49850866
Z2357,DFW,PHX,11-05-2021,5,469.97,Billy,Kohli,J-42970426
Y2161,JFK,EWR,21-08-2021,1,112.03,Jay,Singh,P-64549526
C2750,ORD,FLL,08-07-2021,10,290.19,Billy,Kohli,J-42970426
T2335,MCO,PHX,22-07-2021,4,345.81,Heather,Singh,S-26384273
R2852,MCO,FLL,17-02-2021,8,92.47,Phil,Hawkins,R-68106487
A2975,DFW,EWR,03-11-2020,3,427.85,Jay,Singh,P-64549526
C2896,MCO,IAH,10-11-2020,10,344.82,Jay,Singh,P-64549526
A2975,ATL,IAH,28-04-2021,1,439.83,Russell,Constantine,H-44102824
T2366,ATL,FLL,06-04-2021,6,421.89,Robert,Banner,U-49850866
